,count,nonzero,mean,std,skew,min,1 pct,25 pct,50 pct,75 pct,99 pct,max
is_churn,25806.0,0.021235371619003334,0.021235371619003334,0.1441708571563562,6.642143157207778,0.0,0.0,0.0,0.0,0.0,1.0,1.0
like_per_month,25806.0,0.991513601488026,94.32891575602574,205.78447933272324,10.653469247257984,0.0,1.0,16.0,39.0,93.0,848.0,6529.0
newfriend_per_month,25806.0,0.8994807409129659,6.624002170037976,7.993498358467066,3.66796146271989,0.0,0.0,2.0,4.0,8.0,39.0,190.0
post_per_month,25806.0,0.9819809346663566,38.93497636208634,71.60147703014306,11.118123959680078,0.0,0.0,8.0,19.0,43.0,312.9500000000007,3255.0
adview_per_month,25806.0,0.9794621405874603,39.63961869332714,73.31706589120364,8.866400160585089,0.0,0.0,8.0,19.0,43.75,325.9500000000007,2067.0
dislike_per_month,25806.0,0.9486166007905138,15.270712237464156,22.382892341521462,6.233416663052152,0.0,0.0,4.0,9.0,18.0,102.0,556.0
unfriend_per_month,25806.0,0.261838332170813,0.3027202976052081,0.54855852163725,1.7993781963865867,0.0,0.0,0.0,0.0,1.0,2.0,4.0
message_per_month,25806.0,0.9836084631481051,61.77896613190731,136.09371596158425,8.460904583141067,0.0,0.0,9.0,24.0,60.0,596.0,3751.0
reply_per_month,25806.0,0.9142834999612494,22.561574827559483,47.47109529894967,6.973424187785108,0.0,0.0,2.0,8.0,22.0,223.90000000000146,1310.0
account_tenure,25806.0,1.0,71.06510113926994,26.747373644961094,-0.023286556783765216,18.0,19.0,52.0,80.0,85.0,116.0,116.0
adview_per_post,25806.0,0.9648143842517244,1.6243648138822133,2.41245582721761,8.606037060617526,0.0,0.0,0.4516129,0.962963,1.905137875,11.0,101.0
reply_per_message,25806.0,0.9088584050220879,0.3851747567456406,0.3236438845352696,3.887026887198571,0.0,0.0,0.1681516475,0.35,0.5051546,1.5,10.0
like_per_post,25806.0,0.9758583275207316,3.6355852761402,5.778244836801792,7.536645629483825,0.0,0.0,0.97515245,2.0,4.0666666,26.8,170.78572
post_per_message,25806.0,0.965821901883283,3.4220980107529333,12.386167727775671,15.90018746496957,0.0,0.0,0.21370469,0.7222222,2.4210527,46.5,512.0
unfriend_per_newfriend,25806.0,0.23510036425637448,0.08656659140110828,0.24431719258071752,4.654930976207499,0.0,0.0,0.0,0.0,0.0,1.0,4.0
dislike_pcnt,25806.0,0.9486166007905138,0.23051088514168408,0.20743508629090027,1.248231134052179,0.0,0.0,0.071428575,0.16666667,0.33333334,0.8888889,1.0
unfriend_per_newfriend_scaled,25806.0,0.45481670929241264,0.08890653558360459,0.19417880433632187,5.067467497828502,0.0,0.0,0.0,0.0,0.0952381,1.037037,4.2
newfriend_pcnt_chng,25806.0,0.6977834612105712,0.18253982911247382,0.9196034171977002,2.950901871000234,-1.0,-1.0,-0.25,0.0,0.33333337,4.0,10.0
days_since_newfriend,25806.0,0.7712159962799349,7.450709137409905,11.607070121598447,3.0593325319924807,0.0,0.0,1.0,3.0,9.0,57.0,116.0
unfriend_28day_avg_84day_obs,25806.0,0.5039525691699605,0.24212716073781285,0.2939168878211054,1.282504509515786,0.0,0.0,0.0,0.33333334,0.33333334,1.0,2.3333333
unfriend_28day_avg_84day_obs_scaled,25806.0,0.5039525691699605,0.30910598619545837,0.39562381762618437,1.715533274119719,0.0,0.0,0.0,0.33333334,0.5283019,1.5555556,4.2
